平成30年,人口動態統計,,
下巻　死亡　第３表　死亡数，死因（死因簡単分類）・性・死亡月別
,,総数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
09204　　　慢性非リウマチ性心内膜疾患　　　　　　　　　　　　　　　　　　　　　,総数,12019,1273,1093,1103,979,965,900,909,907,857,911,995,1127
,男　Ｍ．,3853,413,340,376,323,291,277,272,281,292,290,317,381
,女　Ｆ．,8166,860,753,727,656,674,623,637,626,565,621,678,746
09205　　　心筋症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,3878,381,373,347,336,284,276,309,318,278,317,319,340
,男　Ｍ．,2206,224,196,196,194,157,147,193,189,170,191,175,174
,女　Ｆ．,1672,157,177,151,142,127,129,116,129,108,126,144,166
09206　　　不整脈及び伝導障害　　　　　　　　　　　　　　　　　　　　　　　　　,総数,30855,3847,3232,2925,2504,2232,1919,2191,2116,2062,2271,2560,2996
,男　Ｍ．,15059,2009,1589,1377,1165,1078,927,1073,1019,968,1135,1237,1482
,女　Ｆ．,15796,1838,1643,1548,1339,1154,992,1118,1097,1094,1136,1323,1514
09207　　　心不全　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,83311,8952,8027,7635,6740,6532,5910,6223,6089,6003,6491,6841,7868
,男　Ｍ．,32212,3500,3251,2998,2669,2537,2165,2337,2257,2268,2464,2720,3046
,女　Ｆ．,51099,5452,4776,4637,4071,3995,3745,3886,3832,3735,4027,4121,4822
09208　　　その他の心疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,5846,679,635,505,479,443,395,476,407,385,429,480,533
,男　Ｍ．,3097,364,328,269,246,226,195,257,224,211,229,262,286
,女　Ｆ．,2749,315,307,236,233,217,200,219,183,174,200,218,247
09300　　脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,108186,10942,9797,9784,8727,8551,7700,8031,8158,8191,9062,9234,10009
,男　Ｍ．,52398,5433,4800,4728,4136,4041,3715,3792,4008,3911,4453,4417,4964
,女　Ｆ．,55788,5509,4997,5056,4591,4510,3985,4239,4150,4280,4609,4817,5045
09301　　　くも膜下出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11996,1266,1024,1047,954,946,857,917,930,892,1046,1001,1116
,男　Ｍ．,4385,491,367,397,363,335,293,342,324,321,380,368,404
,女　Ｆ．,7611,775,657,650,591,611,564,575,606,571,666,633,712
09302　　　脳内出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,33047,3419,3082,3106,2649,2568,2276,2412,2347,2455,2844,2836,3053
,男　Ｍ．,18013,1852,1699,1684,1440,1381,1274,1293,1314,1318,1554,1508,1696
,女　Ｆ．,15034,1567,1383,1422,1209,1187,1002,1119,1033,1137,1290,1328,1357
09303　　　脳梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,60365,5939,5411,5365,4892,4828,4380,4515,4678,4663,4967,5177,5550
,男　Ｍ．,28727,2933,2613,2526,2229,2234,2055,2074,2269,2186,2431,2449,2728
,女　Ｆ．,31638,3006,2798,2839,2663,2594,2325,2441,2409,2477,2536,2728,2822
09304　　　その他の脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2778,318,280,266,232,209,187,187,203,181,205,220,290
,男　Ｍ．,1273,157,121,121,104,91,93,83,101,86,88,92,136
,女　Ｆ．,1505,161,159,145,128,118,94,104,102,95,117,128,154
09400　　大動脈瘤及び解離　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,18803,2119,1714,1722,1537,1420,1245,1230,1277,1271,1600,1791,1877
,男　Ｍ．,9593,1099,865,858,806,730,665,621,666,659,816,887,921
,女　Ｆ．,9210,1020,849,864,731,690,580,609,611,612,784,904,956
09500　　その他の循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,7734,799,738,719,579,598,560,621,585,558,618,657,702
,男　Ｍ．,3562,380,350,324,289,268,256,302,261,253,267,299,313
,女　Ｆ．,4172,419,388,395,290,330,304,319,324,305,351,358,389
10000　呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,191356,21217,19188,17674,15113,14665,12969,13729,14380,14553,15396,15633,16839
,男　Ｍ．,112405,12428,11198,10403,8859,8629,7528,8102,8378,8669,9025,9294,9892
,女　Ｆ．,78951,8789,7990,7271,6254,6036,5441,5627,6002,5884,6371,6339,6947
10100　　インフルエンザ　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,3325,1092,1260,581,180,56,23,8,4,6,7,13,95
,男　Ｍ．,1677,589,622,276,80,29,12,4,2,3,2,8,50
,女　Ｆ．,1648,503,638,305,100,27,11,4,2,3,5,5,45
10200　　肺炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,94661,10817,9692,8846,7465,7250,6396,6630,6986,6983,7629,7709,8258
,男　Ｍ．,52158,6018,5371,4937,4048,4004,3451,3656,3778,3912,4170,4290,4523
,女　Ｆ．,42503,4799,4321,3909,3417,3246,2945,2974,3208,3071,3459,3419,3735
10300　　急性気管支炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,397,57,48,41,21,26,26,28,32,32,24,41,21
,男　Ｍ．,145,19,16,16,7,13,6,9,10,15,11,17,6
,女　Ｆ．,252,38,32,25,14,13,20,19,22,17,13,24,15
10400　　慢性閉塞性肺疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,18577,1929,1662,1595,1423,1470,1252,1497,1481,1537,1551,1544,1636
,男　Ｍ．,15324,1581,1387,1345,1175,1206,1029,1243,1196,1259,1286,1283,1334
,女　Ｆ．,3253,348,275,250,248,264,223,254,285,278,265,261,302
10500　　喘息　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1617,200,173,159,151,117,86,105,123,114,135,117,137
,男　Ｍ．,626,76,69,58,60,40,37,37,48,47,54,50,50
,女　Ｆ．,991,124,104,101,91,77,49,68,75,67,81,67,87
10600　　その他の呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,72779,7122,6353,6452,5873,5746,5186,5461,5754,5881,6050,6209,6692
,男　Ｍ．,42475,4145,3733,3771,3489,3337,2993,3153,3344,3433,3502,3646,3929
